                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2016 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                               Generated by UCC v.2017.01 on 5 3 2018                               
                        UCC -dir hadoop-0.10.1 -outdir out/hadoop-0.10.1-ucc                        

                                       RESULTS FOR Java FILES                                       

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
395,39,10,0,13,52,186,251,346,CODE,hadoop-0.10.1/build/src/org/apache/hadoop/dfs/browseBlock_jsp.java
181,21,3,1,14,16,90,120,157,CODE,hadoop-0.10.1/build/src/org/apache/hadoop/dfs/browseDirectory_jsp.java
278,46,2,0,14,24,122,160,230,CODE,hadoop-0.10.1/build/src/org/apache/hadoop/dfs/dfshealth_jsp.java
90,13,0,0,12,6,45,63,77,CODE,hadoop-0.10.1/build/src/org/apache/hadoop/dfs/nn_005fbrowsedfscontent_jsp.java
142,22,2,0,13,10,76,99,118,CODE,hadoop-0.10.1/build/src/org/apache/hadoop/dfs/tail_jsp.java
194,27,0,0,11,10,130,151,167,CODE,hadoop-0.10.1/build/src/org/apache/hadoop/mapred/analysejobhistory_jsp.java
105,16,0,0,10,3,60,73,89,CODE,hadoop-0.10.1/build/src/org/apache/hadoop/mapred/jobconf_jsp.java
165,17,0,0,11,9,85,105,148,CODE,hadoop-0.10.1/build/src/org/apache/hadoop/mapred/jobdetails_jsp.java
237,29,0,0,11,18,160,189,208,CODE,hadoop-0.10.1/build/src/org/apache/hadoop/mapred/jobdetailshistory_jsp.java
187,19,0,1,10,13,104,127,168,CODE,hadoop-0.10.1/build/src/org/apache/hadoop/mapred/jobfailures_jsp.java
139,27,0,1,11,4,79,94,112,CODE,hadoop-0.10.1/build/src/org/apache/hadoop/mapred/jobhistory_jsp.java
155,14,0,0,12,13,88,113,141,CODE,hadoop-0.10.1/build/src/org/apache/hadoop/mapred/jobtasks_jsp.java
113,17,0,0,11,7,63,81,96,CODE,hadoop-0.10.1/build/src/org/apache/hadoop/mapred/jobtaskshistory_jsp.java
154,23,0,0,11,9,82,102,131,CODE,hadoop-0.10.1/build/src/org/apache/hadoop/mapred/jobtracker_jsp.java
102,17,2,0,11,8,49,68,83,CODE,hadoop-0.10.1/build/src/org/apache/hadoop/mapred/loadhistory_jsp.java
122,16,0,0,11,7,67,85,106,CODE,hadoop-0.10.1/build/src/org/apache/hadoop/mapred/machines_jsp.java
154,22,0,0,13,11,79,103,132,CODE,hadoop-0.10.1/build/src/org/apache/hadoop/mapred/taskdetails_jsp.java
122,20,0,0,11,5,69,85,102,CODE,hadoop-0.10.1/build/src/org/apache/hadoop/mapred/taskdetailshistory_jsp.java
176,26,0,0,7,20,84,111,150,CODE,hadoop-0.10.1/build/src/org/apache/hadoop/mapred/tasklog_jsp.java
91,13,0,0,11,2,56,69,78,CODE,hadoop-0.10.1/build/src/org/apache/hadoop/mapred/tasktracker_jsp.java
6,0,3,0,1,0,0,1,3,CODE,hadoop-0.10.1/build/src/org/apache/hadoop/package-info.java
34,7,7,0,10,1,5,16,20,CODE,hadoop-0.10.1/src/contrib/smallJobsBenchmark/src/java/org/apache/hadoop/benchmarks/mapred/BenchmarkMapper.java
