                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2016 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                               Generated by UCC v.2017.01 on 5 6 2018                               
                        UCC -dir hadoop-0.14.1 -outdir out/hadoop-0.14.1-ucc                        

                                       RESULTS FOR Java FILES                                       

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
406,38,10,0,14,53,192,259,358,CODE,hadoop-0.14.1/build/src/org/apache/hadoop/dfs/browseBlock_jsp.java
200,21,3,1,15,16,101,132,176,CODE,hadoop-0.14.1/build/src/org/apache/hadoop/dfs/browseDirectory_jsp.java
288,46,14,0,14,25,118,157,228,CODE,hadoop-0.14.1/build/src/org/apache/hadoop/dfs/dfshealth_jsp.java
90,13,0,0,12,6,45,63,77,CODE,hadoop-0.14.1/build/src/org/apache/hadoop/dfs/nn_005fbrowsedfscontent_jsp.java
158,23,2,0,14,12,84,110,133,CODE,hadoop-0.14.1/build/src/org/apache/hadoop/dfs/tail_jsp.java
352,39,0,0,11,25,226,262,313,CODE,hadoop-0.14.1/build/src/org/apache/hadoop/mapred/analysejobhistory_jsp.java
112,17,0,0,10,5,65,80,95,CODE,hadoop-0.14.1/build/src/org/apache/hadoop/mapred/jobblacklistedtrackers_jsp.java
105,16,0,0,10,3,60,73,89,CODE,hadoop-0.14.1/build/src/org/apache/hadoop/mapred/jobconf_jsp.java
325,44,0,1,13,20,159,192,281,CODE,hadoop-0.14.1/build/src/org/apache/hadoop/mapred/jobdetails_jsp.java
318,43,0,0,11,26,212,249,275,CODE,hadoop-0.14.1/build/src/org/apache/hadoop/mapred/jobdetailshistory_jsp.java
210,22,0,1,10,14,115,139,188,CODE,hadoop-0.14.1/build/src/org/apache/hadoop/mapred/jobfailures_jsp.java
143,27,0,1,12,4,80,96,116,CODE,hadoop-0.14.1/build/src/org/apache/hadoop/mapred/jobhistory_jsp.java
162,14,0,0,12,13,90,115,148,CODE,hadoop-0.14.1/build/src/org/apache/hadoop/mapred/jobtasks_jsp.java
116,17,0,0,11,8,64,83,99,CODE,hadoop-0.14.1/build/src/org/apache/hadoop/mapred/jobtaskshistory_jsp.java
157,23,0,0,11,9,82,102,134,CODE,hadoop-0.14.1/build/src/org/apache/hadoop/mapred/jobtracker_jsp.java
102,17,2,0,11,8,49,68,83,CODE,hadoop-0.14.1/build/src/org/apache/hadoop/mapred/loadhistory_jsp.java
122,16,0,0,11,7,67,85,106,CODE,hadoop-0.14.1/build/src/org/apache/hadoop/mapred/machines_jsp.java
158,22,0,0,13,11,79,103,136,CODE,hadoop-0.14.1/build/src/org/apache/hadoop/mapred/taskdetails_jsp.java
122,20,0,0,11,5,69,85,102,CODE,hadoop-0.14.1/build/src/org/apache/hadoop/mapred/taskdetailshistory_jsp.java
123,23,0,1,14,7,65,86,100,CODE,hadoop-0.14.1/build/src/org/apache/hadoop/mapred/taskstats_jsp.java
98,15,0,0,11,2,60,73,83,CODE,hadoop-0.14.1/build/src/org/apache/hadoop/mapred/tasktracker_jsp.java
6,0,3,0,1,0,0,1,3,CODE,hadoop-0.14.1/build/src/org/apache/hadoop/package-info.java
68,9,34,0,2,3,14,19,25,CODE,hadoop-0.14.1/src/ant/org/apache/hadoop/ant/condition/DfsBaseConditional.java
24,2,17,0,1,1,3,5,5,CODE,hadoop-0.14.1/src/ant/org/apache/hadoop/ant/condition/DfsExists.java
24,2,17,0,1,1,3,5,5,CODE,hadoop-0.14.1/src/ant/org/apache/hadoop/ant/condition/DfsIsDir.java
24,2,17,0,1,1,3,5,5,CODE,hadoop-0.14.1/src/ant/org/apache/hadoop/ant/condition/DfsZeroLen.java
211,25,74,1,14,13,67,94,112,CODE,hadoop-0.14.1/src/ant/org/apache/hadoop/ant/DfsTask.java
