                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2016 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                               Generated by UCC v.2017.01 on 5 3 2018                               
                        UCC -dir hadoop-0.16.0 -outdir out/hadoop-0.16.0-ucc                        

                                       RESULTS FOR Java FILES                                       

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
77,10,37,0,4,2,14,20,30,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/Activator.java
193,35,37,0,15,4,59,78,121,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/dfs/ActionProvider.java
44,8,17,0,1,3,9,13,19,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/dfs/DFSActions.java
32,6,20,0,1,2,2,5,6,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/dfs/DFSContent.java
244,46,81,0,13,4,73,90,117,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/dfs/DFSContentProvider.java
350,56,94,0,24,14,97,135,200,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/dfs/DFSFile.java
228,36,49,0,13,6,75,94,143,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/dfs/DFSFolder.java
108,18,38,0,7,3,27,37,52,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/dfs/DFSLocation.java
151,24,49,0,9,2,44,55,78,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/dfs/DFSLocationsRoot.java
57,10,28,0,1,1,10,12,19,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/dfs/DFSMessage.java
157,26,52,0,12,9,36,57,79,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/dfs/DFSPath.java
45,8,20,0,3,0,8,11,17,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/ErrorMessageDialog.java
95,12,24,0,7,0,35,42,59,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/HadoopPerspectiveFactory.java
252,34,107,0,12,9,66,87,111,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/ImageLibrary.java
142,23,37,0,22,2,35,59,82,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/launch/HadoopApplicationLaunchShortcut.java
182,23,30,0,30,3,61,94,129,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/launch/LocalMapReduceLaunchTabGroup.java
37,6,17,0,2,1,7,10,14,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/launch/MutexRule.java
47,6,24,0,8,0,5,13,17,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/launch/StartHadoopLaunchTabGroup.java
146,22,43,2,17,7,36,60,81,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/MapReduceNature.java
99,12,33,0,10,1,25,36,54,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/NewDriverWizard.java
263,43,34,0,28,5,108,141,186,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/NewDriverWizardPage.java
181,29,26,0,22,2,68,92,126,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/NewMapperWizard.java
411,62,65,2,44,17,145,206,284,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/NewMapReduceProjectWizard.java
184,27,26,0,21,1,68,90,131,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/NewReducerWizard.java
64,8,35,0,6,0,8,14,21,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/preferences/MapReducePreferencePage.java
34,4,26,0,1,1,1,3,4,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/preferences/PreferenceConstants.java
33,5,21,0,2,0,2,4,7,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/preferences/PreferenceInitializer.java
43,9,21,0,2,1,5,8,13,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/PropertyTester.java
147,30,68,0,4,4,18,26,49,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/server/ConfProp.java
344,55,104,0,10,15,115,140,185,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/server/HadoopJob.java
124,30,35,0,10,0,29,39,59,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/server/HadoopPathPage.java
508,69,179,0,32,11,149,192,260,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/server/HadoopServer.java
36,8,20,0,1,5,1,7,8,CODE,hadoop-0.16.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/server/IJobListener.java
