                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2016 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                               Generated by UCC v.2017.01 on 5 3 2018                               
                        UCC -dir hadoop-0.17.0 -outdir out/hadoop-0.17.0-ucc                        

                                       RESULTS FOR Java FILES                                       

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
411,40,10,0,15,53,194,262,361,CODE,hadoop-0.17.0/build/src/org/apache/hadoop/dfs/browseBlock_jsp.java
208,22,3,1,16,18,100,134,183,CODE,hadoop-0.17.0/build/src/org/apache/hadoop/dfs/browseDirectory_jsp.java
302,46,14,0,14,25,125,164,242,CODE,hadoop-0.17.0/build/src/org/apache/hadoop/dfs/dfshealth_jsp.java
95,15,0,0,13,6,47,66,80,CODE,hadoop-0.17.0/build/src/org/apache/hadoop/dfs/nn_005fbrowsedfscontent_jsp.java
164,25,2,0,16,12,86,114,137,CODE,hadoop-0.17.0/build/src/org/apache/hadoop/dfs/tail_jsp.java
355,38,0,0,11,26,229,266,317,CODE,hadoop-0.17.0/build/src/org/apache/hadoop/mapred/analysejobhistory_jsp.java
118,20,0,0,10,5,68,83,98,CODE,hadoop-0.17.0/build/src/org/apache/hadoop/mapred/jobblacklistedtrackers_jsp.java
104,15,0,0,11,2,61,74,89,CODE,hadoop-0.17.0/build/src/org/apache/hadoop/mapred/jobconf_005fhistory_jsp.java
100,15,0,0,10,3,58,71,85,CODE,hadoop-0.17.0/build/src/org/apache/hadoop/mapred/jobconf_jsp.java
397,48,0,1,14,23,205,242,349,CODE,hadoop-0.17.0/build/src/org/apache/hadoop/mapred/jobdetails_jsp.java
317,37,0,0,12,27,216,255,280,CODE,hadoop-0.17.0/build/src/org/apache/hadoop/mapred/jobdetailshistory_jsp.java
218,25,0,1,10,14,118,142,193,CODE,hadoop-0.17.0/build/src/org/apache/hadoop/mapred/jobfailures_jsp.java
168,27,3,1,13,16,77,106,138,CODE,hadoop-0.17.0/build/src/org/apache/hadoop/mapred/jobhistory_jsp.java
196,16,2,1,13,16,105,134,178,CODE,hadoop-0.17.0/build/src/org/apache/hadoop/mapred/jobtasks_jsp.java
123,18,0,0,11,9,64,84,105,CODE,hadoop-0.17.0/build/src/org/apache/hadoop/mapred/jobtaskshistory_jsp.java
180,26,0,0,12,10,89,111,154,CODE,hadoop-0.17.0/build/src/org/apache/hadoop/mapred/jobtracker_jsp.java
94,13,5,0,12,3,47,62,76,CODE,hadoop-0.17.0/build/src/org/apache/hadoop/mapred/loadhistory_jsp.java
135,19,0,0,11,7,71,89,116,CODE,hadoop-0.17.0/build/src/org/apache/hadoop/mapred/machines_jsp.java
226,26,1,0,15,17,106,138,199,CODE,hadoop-0.17.0/build/src/org/apache/hadoop/mapred/taskdetails_jsp.java
128,19,0,0,11,6,69,86,109,CODE,hadoop-0.17.0/build/src/org/apache/hadoop/mapred/taskdetailshistory_jsp.java
128,25,0,1,13,8,67,88,103,CODE,hadoop-0.17.0/build/src/org/apache/hadoop/mapred/taskstats_jsp.java
102,17,0,0,11,2,62,75,85,CODE,hadoop-0.17.0/build/src/org/apache/hadoop/mapred/tasktracker_jsp.java
6,0,3,0,1,0,0,1,3,CODE,hadoop-0.17.0/build/src/org/apache/hadoop/package-info.java
