                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2016 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                               Generated by UCC v.2017.01 on 5 1 2018                               
                                 UCC -outdir ucc -dir hadoop-0.2.0                                 

                                       RESULTS FOR Java FILES                                       

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
76,15,22,1,4,3,27,34,39,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/MapOutputLocation.java
31,6,18,0,3,1,1,5,7,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/MapOutputProtocol.java
43,4,29,0,5,1,1,7,10,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/Mapper.java
39,7,22,0,4,0,3,7,10,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/MapReduceBase.java
30,3,21,0,2,1,1,4,6,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/MapRunnable.java
55,7,18,0,4,4,13,21,30,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/MapRunner.java
164,32,17,10,5,7,65,77,115,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/MapTask.java
43,6,18,0,3,1,11,15,19,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/MapTaskRunner.java
35,2,26,0,1,4,1,6,7,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/MRConstants.java
34,5,22,0,4,1,1,6,7,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/OutputCollector.java
47,7,32,0,3,2,1,6,8,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/OutputFormat.java
43,7,17,0,4,1,7,12,19,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/OutputFormatBase.java
33,3,24,0,3,1,1,5,6,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/Partitioner.java
43,7,27,0,4,3,1,8,9,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/RecordReader.java
39,5,25,0,5,2,1,8,9,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/RecordWriter.java
43,6,26,0,6,1,1,8,11,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/Reducer.java
322,56,30,23,8,24,150,182,236,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/ReduceTask.java
151,17,24,3,9,8,62,79,110,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/ReduceTaskRunner.java
28,3,20,0,2,1,1,4,5,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/Reporter.java
77,11,53,0,2,9,1,12,13,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/RunningJob.java
57,13,16,2,6,0,13,19,28,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/SequenceFileInputFormat.java
79,17,19,1,10,0,19,29,43,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/SequenceFileOutputFormat.java
74,16,20,1,6,5,23,34,38,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/SequenceFileRecordReader.java
123,22,34,3,5,11,37,53,67,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/mapred/Task.java
