                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2016 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                               Generated by UCC v.2017.01 on 5 1 2018                               
                             UCC -outdir ucc -dir apache-log4j-2.1-src/                             

                                       RESULTS FOR Java FILES                                       

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
269,32,53,16,16,19,79,114,184,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/async/RingBufferLogEvent.java
55,7,25,0,3,3,9,15,23,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/async/RingBufferLogEventHandler.java
98,9,27,12,7,12,19,38,62,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/async/RingBufferLogEventTranslator.java
833,75,210,5,44,48,292,384,548,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/AbstractConfiguration.java
116,15,33,0,8,5,37,50,68,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/AppenderControl.java
83,10,26,0,10,4,18,32,47,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/AppenderRef.java
54,8,24,0,7,1,6,14,22,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/AppendersPlugin.java
140,30,70,0,11,19,9,39,40,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/Configuration.java
45,4,31,0,1,1,5,7,10,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/ConfigurationException.java
509,41,131,1,29,30,177,236,337,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/ConfigurationFactory.java
